UNIXtime	sensor	watts
1340744292 	2 	00000
1340744295 	1 	00000
1340744298 	2 	00000
1340744305 	0 	00162
1340744306 	0 	00161
1340744308 	1 	00000
1340744310 	2 	00000
1340744312 	0 	00162
1340744314 	1 	00000
1340744316 	2 	00000
1340744318 	0 	00161
1340744321 	1 	00000
1340744322 	2 	00000
1340744324 	0 	00163
1340744326 	1 	00000
1340744328 	2 	00001
1340744331 	0 	00161
1340744334 	2 	00001
1340744337 	0 	00162
1340744338 	1 	00000
1340744341 	2 	00000
1340744343 	0 	00161
1340744344 	1 	00000
1340744347 	2 	00001
1340744349 	0 	00162
1340744351 	1 	00000
1340744353 	2 	00000
1340744355 	0 	00161
1340744357 	1 	00000
1340744359 	2 	00000
1340744361 	0 	00162
1340744363 	1 	00000
1340744365 	2 	00000
1340744367 	0 	00162
1340744369 	1 	00000
1340744371 	2 	00001
1340744373 	0 	00161
1340744375 	1 	00000
1340744380 	0 	00161
1340744381 	1 	00000
1340744388 	2 	00000
1340744390 	2 	00001
1340744392 	0 	00161
1340744393 	1 	00000
1340744396 	2 	00001
1340744398 	0 	00161
1340744399 	1 	00000
1340744402 	2 	00000
1340744406 	1 	00000
1340744408 	2 	00001
1340744410 	0 	00160
1340744412 	1 	00000
1340744414 	2 	00000
1340744416 	0 	00162
1340744418 	1 	00000
1340744420 	2 	00000
1340744422 	0 	00162
1340744426 	2 	00000
1340744430 	1 	00000
1340744432 	2 	00000
1340744435 	0 	00163
1340744436 	1 	00000
1340744439 	2 	00000
1340744441 	0 	00161
1340744442 	1 	00000
1340744445 	2 	00001
1340744447 	0 	00161
1340744448 	1 	00000
1340744461 	2 	00001
1340744463 	2 	00001
1340744465 	0 	00162
1340744467 	1 	00000
1340744469 	2 	00000
1340744471 	0 	00162
1340744473 	1 	00000
1340744475 	2 	00000
1340744477 	0 	00161
1340744479 	1 	00000
1340744481 	2 	00000
1340744483 	0 	00161
1340744485 	1 	00000
1340744488 	2 	00001
1340744491 	1 	00000
1340744494 	2 	00001
1340744495 	0 	00162
1340744497 	1 	00000
1340744500 	2 	00001
1340744502 	0 	00162
1340744506 	2 	00000
1340744508 	0 	00163
1340744509 	1 	00000
1340744512 	2 	00001
1340744514 	0 	00163
1340744516 	1 	00000
1340744518 	2 	00000
1340744522 	1 	00000
1340744524 	2 	00001
1340744526 	0 	00164
1340744528 	1 	00000
1340744530 	2 	00000
1340744532 	0 	00163
1340744534 	1 	00000
1340744537 	2 	00001
1340744538 	0 	00162
1340744540 	1 	00000
1340744543 	2 	00000
1340744545 	0 	00162
1340744546 	1 	00000
1340744549 	2 	00001
1340744551 	0 	00162
1340744552 	1 	00000
1340744555 	2 	00000
1340744557 	0 	00163
1340744558 	1 	00000
1340744561 	2 	00000
1340744563 	0 	00164
1340744564 	1 	00000
1340744567 	2 	00000
1340744569 	0 	00162
1340744571 	1 	00000
1340744573 	2 	00000
1340744575 	0 	00162
1340744577 	1 	00000
1340744579 	2 	00001
1340744582 	0 	00163
1340744586 	2 	00000
1340744587 	0 	00162
1340744589 	1 	00000
1340744592 	2 	00000
1340744593 	0 	00162
1340744595 	1 	00000
1340744598 	2 	00000
1340744600 	0 	00162
1340744601 	1 	00000
1340744604 	2 	00000
1340744606 	0 	00162
1340744607 	1 	00000
1340744610 	2 	00000
1340744612 	0 	00162
1340744613 	1 	00000
1340744616 	2 	00000
1340744618 	0 	00162
1340744620 	1 	00000
1340744622 	2 	00001
1340744624 	0 	00163
1340744627 	1 	00000
1340744628 	2 	00000
1340744631 	0 	00162
1340744632 	1 	00000
1340744635 	2 	00000
1340744638 	1 	00000
1340744641 	2 	00000
1340744643 	0 	00160
1340744644 	1 	00000
1340744647 	2 	00001
1340744649 	0 	00161
1340744650 	1 	00000
1340744653 	2 	00001
1340744655 	0 	00161
1340744656 	1 	00000
1340744659 	2 	00000
1340744661 	0 	00160
1340744662 	1 	00000
1340744665 	2 	00000
1340744668 	0 	00161
1340744668 	1 	00000
1340744671 	2 	00000
1340744673 	0 	00161
1340744675 	1 	00000
1340744677 	2 	00001
1340744680 	0 	00161
1340744681 	1 	00000
1340744686 	0 	00162
1340744688 	1 	00000
1340744690 	2 	00001
1340744692 	0 	00166
1340744693 	1 	00000
1340744696 	2 	00001
1340744698 	0 	00160
1340744699 	1 	00000
1340744702 	2 	00000
1340744704 	0 	00161
1340744705 	1 	00000
1340744708 	2 	00000
1340744711 	0 	00160
1340744711 	1 	00000
1340744714 	2 	00001
1340744717 	0 	00161
1340744720 	2 	00001
1340744723 	0 	00161
1340744723 	1 	00000
1340744726 	2 	00000
1340744729 	0 	00160
1340744730 	1 	00000
1340744733 	2 	00001
1340744736 	1 	00000
1340744739 	2 	00000
1340744741 	0 	00160
1340744742 	1 	00000
1340744747 	0 	00161
1340744748 	1 	00000
1340744751 	2 	00001
1340744754 	0 	00161
1340744754 	1 	00000
1340744757 	2 	00000
1340744760 	1 	00000
1340744763 	2 	00000
1340744766 	0 	00161
1340744766 	1 	00000
1340744769 	2 	00000
1340744772 	0 	00160
1340744772 	1 	00000
1340744775 	2 	00000
1340744778 	0 	00159
1340744778 	1 	00000
1340744782 	2 	00001
1340744785 	1 	00000
1340744788 	2 	00001
1340744790 	0 	00161
1340744791 	1 	00000
1340744794 	2 	00000
1340744796 	0 	00161
1340744800 	2 	00001
1340744802 	0 	00160
1340744803 	1 	00000
1340744806 	2 	00001
1340744808 	0 	00161
1340744809 	1 	00000
1340744812 	2 	00000
1340744814 	0 	00159
1340744815 	1 	00000
1340744818 	2 	00000
1340744821 	1 	00000
1340744824 	2 	00000
1340744827 	0 	00160
1340744827 	1 	00000
1340744831 	2 	00000
1340744833 	0 	00160
1340744833 	1 	00000
1340744837 	2 	00000
1340744839 	0 	00162
1340744840 	1 	00000
1340744843 	2 	00000
1340744845 	0 	00162
1340744846 	1 	00000
1340744849 	2 	00001
1340744851 	0 	00161
1340744852 	1 	00000
1340744855 	2 	00001
1340744857 	0 	00160
1340744858 	1 	00000
1340744861 	2 	00001
1340744864 	0 	00160
1340744864 	1 	00000
1340744867 	2 	00000
1340744870 	0 	00160
1340744870 	1 	00000
1340744873 	2 	00000
1340744876 	0 	00159
1340744878 	1 	00000
1340744880 	2 	00000
1340744882 	0 	00159
1340744882 	1 	00000
1340744886 	2 	00001
1340744888 	0 	00159
1340744889 	1 	00000
1340744892 	2 	00000
1340744894 	0 	00160
1340744895 	1 	00000
1340744898 	2 	00001
1340744901 	0 	00160
1340744901 	1 	00000
1340744904 	2 	00000
1340744907 	0 	00161
1340744907 	1 	00000
1340744910 	2 	00105
1340744913 	0 	00241
1340744916 	2 	00093
1340744920 	1 	00000
1340744922 	2 	00091
1340744925 	1 	00000
1340744929 	2 	00089
1340744932 	0 	00232
1340744935 	2 	00088
1340744937 	1 	00000
1340744938 	0 	00232
1340744941 	2 	00087
1340744944 	1 	00000
1340744944 	0 	00232
1340744947 	2 	00086
1340744950 	1 	00000
1340744950 	0 	00234
1340744953 	2 	00085
1340744956 	1 	00000
1340744956 	0 	00231
1340744959 	2 	00085
1340744962 	1 	00000
1340744964 	0 	00230
1340744965 	2 	00084
1340744968 	1 	00000
1340744968 	0 	00232
1340744971 	2 	00085
1340744974 	1 	00000
1340744974 	0 	00230
1340744978 	2 	00085
1340744980 	1 	00000
1340744981 	0 	00231
1340744984 	2 	00086
1340744986 	1 	00000
1340744987 	0 	00232
1340744990 	2 	00086
1340744992 	1 	00000
1340744993 	0 	00233
1340744996 	2 	00086
1340744999 	1 	00000
1340744999 	0 	00232
1340745002 	2 	00086
1340745005 	1 	00000
1340745008 	2 	00084
1340745012 	0 	00229
1340745014 	2 	00083
1340745017 	1 	00000
1340745018 	0 	00230
1340745020 	2 	00083
1340745023 	1 	00000
1340745024 	0 	00232
1340745027 	2 	00081
1340745029 	1 	00000
1340745030 	0 	00229
1340745033 	2 	00081
1340745035 	1 	00000
1340745036 	0 	00231
1340745039 	2 	00082
1340745041 	1 	00000
1340745042 	0 	00227
1340745045 	2 	00081
1340745047 	1 	00000
1340745050 	0 	00230
1340745051 	2 	00081
1340745054 	1 	00000
1340745054 	0 	00228
1340745057 	2 	00082
1340745060 	1 	00000
1340745060 	0 	00230
1340745063 	2 	00082
1340745066 	1 	00000
1340745069 	2 	00082
1340745072 	1 	00000
1340745072 	0 	00229
1340745075 	2 	00082
1340745078 	1 	00000
1340745082 	2 	00082
1340745084 	1 	00000
1340745088 	2 	00082
1340745091 	0 	00229
1340745094 	2 	00082
1340745096 	1 	00000
1340745097 	0 	00229
1340745100 	2 	00083
1340745108 	0 	00229
1340745109 	1 	00000
1340745112 	2 	00083
1340745115 	0 	00230
1340745115 	1 	00000
1340745118 	2 	00083
1340745124 	2 	00083
1340745127 	1 	00000
1340745131 	2 	00084
1340745133 	1 	00000
1340745133 	0 	00229
1340745137 	2 	00083
1340745139 	1 	00000
1340745139 	0 	00231
1340745143 	2 	00083
1340745145 	1 	00000
1340745147 	0 	00231
1340745149 	2 	00083
